"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","X_COORD_CD","Y_COORD_CD","Latitude","Longitude"
"25574777","12/01/2006","21:24:00","BROOKLYN","OUTSIDE","67","0","STREET",,"998123","177836","-73.95000303","40.65479277"
"25586128","12/03/2006","19:12:00","BRONX","OUTSIDE","42","0","STREET","COMMERCIAL BLDG","1012545","241310","-73.89775905","40.82897859"
"25674498","12/07/2006","22:10:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1000214","232023","-73.9423385","40.80351928"
"25674499","12/08/2006","01:22:00","BRONX","INSIDE","40","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1007096","239167","-73.91745599","40.82311245"
"25738130","12/12/2006","22:19:00","BROOKLYN","OUTSIDE","67","0","STREET",,"1003283","173605","-73.93141828","40.64317"
"25812421","12/17/2006","00:30:00","BROOKLYN","OUTSIDE","63","0","COMMERCIAL","COMMERCIAL BLDG","1008572","162497","-73.91240004","40.61266795"
"25881910","12/21/2006","19:55:00","BROOKLYN","OUTSIDE","79","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1000381","192386","-73.94183036","40.69472542"
"25896932","12/22/2006","20:55:00","BROOKLYN","OUTSIDE","83","0","STREET",,"1004872","191626","-73.92563739","40.69263007"
"25911846","12/22/2006","19:26:00","BROOKLYN","OUTSIDE","75","0","STREET",,"1015803","181313","-73.88626793","40.66429101"
"25950260","12/25/2006","23:30:00","BROOKLYN","INSIDE","81","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001301","191707","-73.9385144","40.69285999"
"26035862","01/01/2007","00:34:00","BRONX","OUTSIDE","47","0","STREET",,"1022951","259687","-73.86005151","40.87937846"
"26103372","01/05/2007","23:00:00","QUEENS","OUTSIDE","114","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1003021","216517","-73.93224277","40.76095391"
